row_index,dataset,confidence_mean,accuracy_mean
0,cars,0.5093552303278971,0.6123595505617978
1,cars,0.41104849975528746,0.41935483870967744
2,cars,0.3390170004490196,0.3157894736842105
3,cars,0.3266956077425031,0.39751552795031053
4,cars,0.5235293202018023,0.34545454545454546
5,cars,0.3807863576033419,0.9308176100628931
6,cars,0.4928347675456813,0.19047619047619047
7,cars,0.7391822585536254,0.5804597701149425
8,cars,0.7431098310244215,0.44642857142857145
9,cars,0.29198718143930835,0.474025974025974
10,cars,0.4898272287614611,0.3780487804878049
11,cars,0.7044605670069739,0.15789473684210525
12,cars,0.4873534167391466,0.9034090909090909
13,cars,0.5122657449121114,0.5988023952095808
14,cars,0.44229181729800765,0.40606060606060607
15,cars,0.3063496965936839,0.3235294117647059
16,cars,0.5111955189183987,0.6882352941176471
17,cars,0.35004668938765593,0.4304635761589404
18,cars,0.4005417126072044,0.7853107344632768
19,cars,0.3161376430735169,0.5029239766081871
20,cars,0.3647962170852601,0.5795454545454546
21,cars,0.3200910742869442,0.7048192771084337
22,cars,0.3401854199922877,0.0
23,cars,0.3740321869126039,0.41818181818181815
24,cars,0.3261076263907511,0.09090909090909091
25,cars,0.39599644050849514,0.7159763313609467
26,cars,0.49138666744584136,0.3076923076923077
27,cars,0.30236780949088576,0.6408839779005525
28,cars,0.4267600579541694,0.8833333333333333
29,cars,0.28155319863631884,0.3051948051948052
30,cars,0.34144559727895785,0.5548387096774193
31,cars,0.4382172369325724,0.30994152046783624
32,cars,0.45870736301400605,1.0
33,cars,0.3656383876634777,0.8117647058823529
34,cars,0.4605941851661394,0.6193548387096774
35,cars,0.6726303401342053,0.3116883116883117
36,cars,0.2659427461491362,0.41916167664670656
37,cars,0.4030590139205278,0.48863636363636365
38,cars,0.3180634305535316,0.09433962264150944
39,cars,0.4103097494260946,0.6
40,cars,0.2711193234492818,1.0
41,cars,0.3068249679357737,0.5568862275449101
42,cars,0.4170584195555429,0.5460122699386503
43,cars,0.35100372124371937,0.3898305084745763
44,cars,0.6865055893854521,0.8874172185430463
45,cars,0.5081316878686278,0.16774193548387098
46,cars,0.38972182927778803,0.7218934911242604
47,cars,0.4234172246771728,0.41566265060240964
48,cars,0.28128113291384577,0.7177914110429447
49,cars,0.47361037427021374,0.9137931034482759
50,cars,0.5390866905949063,0.4105263157894737
51,cars,0.3919862523006159,0.5454545454545454
52,cars,0.4441123722726019,0.4567901234567901
53,cars,0.48588893255060434,0.2909090909090909
54,cars,0.4625983770869682,0.475
55,cars,0.47306893899377556,0.6
56,cars,0.416825848223039,0.42045454545454547
57,cars,0.4355771984342319,0.8395061728395061
58,cars,0.40065572566232416,0.3630573248407643
59,cars,0.48253402407752743,0.294478527607362
60,cars,0.4663851230410739,0.7639751552795031
61,cars,0.31171510712987893,0.1
62,cars,0.46338602830786785,0.7898089171974523
63,cars,0.739193074471854,0.37333333333333335
64,cars,0.3935633918011416,0.3103448275862069
65,cars,0.5353982608540379,0.9329268292682927
66,cars,0.3463188364676824,0.6184971098265896
67,cars,0.3532728328615146,0.5
68,cars,0.33841602893477185,0.896774193548387
69,cars,0.6746210878306269,0.5714285714285714
70,flowers,0.44169429935400034,1.0
71,flowers,0.2939426422266962,0.3
72,flowers,0.5269313146118234,0.8
73,flowers,0.4392739545055981,0.1
74,flowers,0.3226617562958031,0.6
75,flowers,0.3183060267735332,0.5
76,flowers,0.34940185902470683,0.9
77,flowers,0.5130532582146222,0.6
78,flowers,0.35723315745154954,0.8
79,flowers,0.682447706292022,0.8
80,flowers,0.39092839718884914,0.4
81,flowers,0.39378077628659314,0.4
82,flowers,0.4729924943715155,0.7
83,flowers,0.3187444967109283,0.7
84,flowers,0.3024153754393286,0.6
85,flowers,0.7324937461340439,0.7
86,flowers,0.42344287127574454,0.8
87,flowers,0.3784358674580366,0.6
88,flowers,0.7326295042044919,1.0
89,flowers,0.27505841822198146,0.0
90,flowers,0.3899058995396621,0.8
91,flowers,0.43397132833405233,0.5
92,flowers,0.3406007597051394,0.3
93,flowers,0.3795348079330929,0.6
94,flowers,0.7023931590251168,0.3
95,flowers,0.49268489105367624,1.0
96,flowers,0.5144031395440972,0.7
97,flowers,0.5312404177438629,0.3
98,flowers,0.5373126175064141,0.6
99,flowers,0.38579430127803155,0.5
100,flowers,0.2817638557363221,0.8
101,flowers,0.67101721449433,0.8
102,flowers,0.4574461926239171,0.9
103,flowers,0.36658932671387134,0.7
104,flowers,0.5409450160801341,0.6
105,flowers,0.32942080610553126,0.7
